id,kkr,z_dy,cnt
0,03-NI,2020,52989
1,14-SN,1999,591
2,02-HH,2022,18223
3,09-BY,2016,3349
4,16-TH,2012,1000
5,12-BB,1998,106
6,15-ST,2016,1049
7,09-BY,1997,337
8,09-BY,2003,1125
9,11-BE,2018,1063
10,09-BY,2001,714
11,14-SN,2012,3481
12,13-MV,1996,63
13,15-ST,2003,320
14,16-TH,1999,154
15,15-ST,2001,297
16,15-ST,1997,129
17,13-MV,2002,327
18,11-BE,2014,20
19,12-BB,1984,10
20,07-RP,<NA>,7
21,13-MV,1992,7
22,09-BY,1968,5
23,06-HE,2016,1
24,06-HE,2001,1
25,15-ST,2022,25706
26,09-BY,2022,87841
27,06-HE,2022,38288
28,09-BY,2017,3851
29,13-MV,2020,19175
30,04-HB,2020,6439
31,10-SL,2020,11793
32,15-ST,2017,1321
33,12-BB,2008,453
34,09-BY,1941,1
35,15-ST,1981,1
36,09-BY,1981,34
37,11-BE,2011,9
38,13-MV,1994,37
39,13-MV,1983,1
40,11-BE,2007,12
41,13-MV,1991,4
42,11-BE,1987,1
43,05-NW,2022,168420
44,14-SN,2022,55743
45,13-MV,2009,712
46,16-TH,2022,18907
47,14-SN,2017,5237
48,01-SH,2022,34672
49,16-TH,2017,1705
50,12-BB,2007,365
51,12-BB,2011,537
52,14-SN,1981,19
53,11-BE,2008,10
54,12-BB,1987,2
55,13-MV,1951,1
56,13-MV,1986,4
57,14-SN,1950,1
58,14-SN,1948,1
59,07-RP,2021,30365
60,14-SN,2013,3626
61,03-NI,2022,42779
62,16-TH,2019,2728
63,14-SN,2019,8961
64,02-HH,2020,17301
65,14-SN,2005,1343
66,13-MV,2016,1380
67,09-BY,2002,1030
68,16-TH,2005,365
69,13-MV,2003,290
70,16-TH,2013,1081
71,09-BY,1996,254
72,15-ST,2002,304
73,13-MV,1997,87
74,13-MV,2001,248
75,14-SN,1988,32
76,15-ST,1996,113
77,12-BB,2004,262
78,12-BB,1900,23
79,09-BY,1992,160
80,09-BY,1971,8
81,11-BE,2006,10
82,06-HE,1996,1
83,14-SN,1972,3
84,15-ST,1992,22
85,16-TH,1988,9
86,12-BB,1993,22
87,12-BB,1980,4
88,12-BB,1974,1
89,13-MV,1921,1
90,06-HE,2020,38916
91,11-BE,2021,26688
92,09-BY,2020,88641
93,15-ST,2020,25367
94,13-MV,2022,21815
95,09-BY,1991,130
96,10-SL,2022,12154
97,16-TH,2009,787
98,04-HB,2022,6369
99,13-MV,2017,1574
100,14-SN,2009,2619
101,12-BB,2010,482
102,12-BB,2015,621
103,12-BB,2000,149
104,09-BY,1994,252
105,09-BY,1983,42
106,15-ST,1994,44
107,14-SN,1986,26
108,12-BB,1989,14
109,15-ST,1983,7
110,16-TH,1976,2
111,14-SN,1962,2
112,13-MV,1981,1
113,16-TH,1986,8
114,15-ST,1991,24
115,14-SN,1976,5
116,09-BY,1954,1
117,09-BY,1938,1
118,09-BY,1900,592
119,15-ST,2004,380
120,14-SN,2006,1500
121,09-BY,2004,1312
122,15-ST,1900,470
123,11-BE,2019,1257
124,15-ST,1993,41
125,16-TH,2006,427
126,12-BB,2002,199
127,09-BY,1993,171
128,13-MV,1998,81
129,06-HE,1900,113
130,09-BY,1980,32
131,14-SN,1975,6
132,11-BE,2013,19
133,12-BB,1996,73
134,12-BB,1992,20
135,14-SN,1967,2
136,11-BE,2005,13
137,09-BY,1974,8
138,16-TH,1975,2
139,12-BB,1971,1
140,14-SN,1965,1
141,09-BY,1966,1
142,08-BW,2020,85588
143,16-TH,2016,1536
144,09-BY,2012,2718
145,13-MV,2019,1692
146,14-SN,2016,5061
147,15-ST,2012,768
148,14-SN,2003,1004
149,09-BY,1999,523
150,12-BB,2018,851
151,16-TH,2001,204
152,14-SN,2001,838
153,13-MV,2013,1032
154,13-MV,2005,432
155,12-BB,2014,619
156,14-SN,1997,412
157,15-ST,1999,173
158,16-TH,1997,114
159,16-TH,2003,292
160,12-BB,1982,2
161,12-BB,1990,7
162,13-MV,1988,2
163,11-BE,2017,957
164,04-HB,2021,6368
165,10-SL,2021,12680
166,11-BE,2022,25469
167,14-SN,2008,2279
168,13-MV,2021,20444
169,16-TH,2008,672
170,09-BY,2011,2599
171,08-BW,1900,653
172,09-BY,2007,1828
173,15-ST,2007,523
174,15-ST,2011,708
175,09-BY,1987,83
176,13-MV,1995,51
177,16-TH,1977,1
178,09-BY,1963,3
179,13-MV,1970,1
180,09-BY,1969,4
181,13-MV,1978,2
182,14-SN,1977,6
183,13-MV,1985,1
184,14-SN,2011,3113
185,12-BB,2022,21140
186,14-SN,2007,1876
187,13-MV,2010,838
188,15-ST,2008,588
189,09-BY,2008,2044
190,13-MV,2015,1209
191,16-TH,2011,949
192,16-TH,2007,541
193,12-BB,2017,712
194,13-MV,2000,173
195,14-SN,1987,27
196,01-SH,<NA>,7
197,12-BB,1981,5
198,09-BY,1977,14
199,16-TH,1987,9
200,13-MV,1989,2
201,14-SN,1969,2
202,09-BY,2021,89962
203,15-ST,2021,24814
204,11-BE,2020,25691
205,14-SN,2015,4443
206,06-HE,2021,40478
207,14-SN,2023,8529
208,14-SN,2010,2885
209,16-TH,2015,1284
210,12-BB,2009,474
211,16-TH,2010,812
212,13-MV,2011,818
213,09-BY,1978,22
214,13-MV,2007,537
215,09-BY,1995,248
216,14-SN,2000,695
217,16-TH,2000,134
218,12-BB,1986,6
219,13-MV,1987,2
220,09-BY,1985,80
221,04-HB,<NA>,26
222,15-ST,1995,73
223,14-SN,1989,33
224,09-BY,1970,9
225,09-BY,1979,24
226,16-TH,1989,8
227,15-ST,1979,1
228,09-BY,1964,1
229,12-BB,1976,1
230,15-ST,1985,3
231,11-BE,1994,1
232,14-SN,1945,1
233,15-ST,1978,1
234,03-NI,2021,52582
235,07-RP,2022,27525
236,15-ST,2018,2098
237,09-BY,2014,3131
238,09-BY,2018,4327
239,14-SN,1998,479
240,15-ST,2014,888
241,09-BY,1990,123
242,12-BB,1999,132
243,11-BE,2016,451
244,12-BB,2012,623
245,16-TH,1998,125
246,13-MV,2006,491
247,09-BY,1982,47
248,14-SN,1984,15
249,11-BE,2001,5
250,09-BY,1932,1
251,15-ST,1990,14
252,16-TH,1984,4
253,09-BY,1973,5
254,11-BE,2003,4
255,15-ST,1982,1
256,11-BE,1997,3
257,05-NW,2020,185748
258,16-TH,2020,19459
259,14-SN,2020,54123
260,12-BB,2021,22789
261,01-SH,2020,34974
262,15-ST,2009,643
263,09-BY,2009,2185
264,09-BY,1986,87
265,12-BB,1995,56
266,11-BE,2010,11
267,16-TH,1994,47
268,14-SN,1994,243
269,14-SN,1991,58
270,14-SN,1983,16
271,16-TH,1991,17
272,16-TH,1983,5
273,11-BE,2023,1
274,15-ST,1986,5
275,11-BE,2015,22
276,09-BY,1976,12
277,09-BY,1962,2
278,12-BB,1978,2
279,11-BE,2000,4
280,12-BB,1979,3
281,12-BB,1985,3
282,06-HE,2009,1
283,02-HH,2021,18045
284,07-RP,2020,29477
285,13-MV,2014,1115
286,14-SN,2004,1200
287,16-TH,2004,329
288,13-MV,2018,1539
289,12-BB,2013,642
290,12-BB,2019,1006
291,12-BB,1988,7
292,15-ST,2006,457
293,14-SN,1900,128
294,09-BY,2006,1579
295,14-SN,1993,138
296,12-BB,2005,287
297,16-TH,1993,40
298,16-TH,1966,1
299,09-BY,1975,12
300,14-SN,1980,14
301,16-TH,1900,48
302,11-BE,1996,1
303,14-SN,1940,1
304,14-SN,1966,2
305,11-BE,2002,6
306,14-SN,1974,3
307,09-BY,1967,1
308,13-MV,1990,3
309,13-MV,1982,2
310,03-NI,<NA>,1
311,16-TH,1974,1
312,12-BB,1972,1
313,08-BW,2021,86306
314,16-TH,2018,2223
315,14-SN,2018,7231
316,12-BB,2003,222
317,14-SN,2014,3927
318,16-TH,2014,1213
319,16-TH,1990,11
320,15-ST,1998,143
321,14-SN,1990,47
322,09-BY,1998,412
323,11-BE,2012,12
324,12-BB,2016,634
325,13-MV,1900,28
326,12-BB,1997,88
327,12-BB,2001,163
328,14-SN,1982,14
329,13-MV,2004,363
330,09-BY,1984,58
331,13-MV,1993,7
332,16-TH,1982,3
333,15-ST,1984,4
334,14-SN,1973,4
335,16-TH,1973,1
336,13-MV,1980,1
337,10-SL,1900,1
338,11-BE,1999,5
339,09-BY,1936,1
340,14-SN,2021,55257
341,05-NW,2021,187322
342,16-TH,2021,19039
343,09-BY,2000,623
344,01-SH,2021,36432
345,14-SN,1995,299
346,12-BB,2020,22333
347,09-BY,2010,2368
348,09-BY,2015,3227
349,09-BY,1989,100
350,13-MV,2008,628
351,15-ST,2010,738
352,15-ST,2015,974
353,15-ST,2000,232
354,12-BB,1991,15
355,16-TH,1995,58
356,13-MV,1977,1
357,09-BY,1937,1
358,12-BB,1994,44
359,16-TH,1985,7
360,02-HH,1900,13
361,14-SN,1985,20
362,14-SN,1970,16
363,12-BB,1983,5
364,11-BE,2009,9
365,14-SN,1978,4
366,16-TH,1978,3
367,15-ST,1989,6
368,16-TH,1979,4
369,14-SN,1979,9
370,14-SN,1964,1
371,09-BY,2023,1
372,06-HE,2010,1
373,08-BW,2022,83783
374,15-ST,2019,2962
375,09-BY,2019,5228
376,13-MV,2012,954
377,09-BY,2013,2833
378,12-BB,2006,328
379,14-SN,2002,960
380,13-MV,1999,131
381,09-BY,2005,1453
382,15-ST,2005,449
383,16-TH,2002,217
384,15-ST,2013,832
385,14-SN,1996,338
386,09-BY,1988,109
387,09-BY,1972,9
388,14-SN,1992,76
389,16-TH,1996,91
390,11-BE,1900,103
391,12-BB,1975,1
392,16-TH,1992,24
393,09-BY,1959,3
394,15-ST,1988,4
395,11-BE,1993,1
396,14-SN,1971,1
397,11-BE,2004,4
398,06-HE,2005,1
399,16-TH,1971,1
